sensor_0_mean,sensor_0_std,sensor_0_min,sensor_0_max,sensor_0_q25,sensor_0_q50,sensor_0_q75,sensor_1_mean,sensor_1_std,sensor_1_min,sensor_1_max,sensor_1_q25,sensor_1_q50,sensor_1_q75,sensor_2_mean,sensor_2_std,sensor_2_min,sensor_2_max,sensor_2_q25,sensor_2_q50,sensor_2_q75,sensor_3_mean,sensor_3_std,sensor_3_min,sensor_3_max,sensor_3_q25,sensor_3_q50,sensor_3_q75,sensor_4_mean,sensor_4_std,sensor_4_min,sensor_4_max,sensor_4_q25,sensor_4_q50,sensor_4_q75,sensor_5_mean,sensor_5_std,sensor_5_min,sensor_5_max,sensor_5_q25,sensor_5_q50,sensor_5_q75,sensor_6_mean,sensor_6_std,sensor_6_min,sensor_6_max,sensor_6_q25,sensor_6_q50,sensor_6_q75,sensor_7_mean,sensor_7_std,sensor_7_min,sensor_7_max,sensor_7_q25,sensor_7_q50,sensor_7_q75,sensor_8_mean,sensor_8_std,sensor_8_min,sensor_8_max,sensor_8_q25,sensor_8_q50,sensor_8_q75,sensor_9_mean,sensor_9_std,sensor_9_min,sensor_9_max,sensor_9_q25,sensor_9_q50,sensor_9_q75,label
-1.610323161,303.093573,-1421,1353,-199,0,199,4.613823103,678.3251752,-5199,5572,-391,0,403,3.559724005,290.8700926,-1453,1413,-184,0,187,2.019983,384.1376116,-1960,1699,-254,0,258,0,0,0,0,0,0,0,-9.718854686,696.9305519,-2776,2432,-481,0,475,7.060032333,521.1051849,-2338,2969,-344,0,352,1.268362194,620.9451608,-2878,2544,-423,0,426,1.465042249,372.3836433,-1747,2021,-242,0,245,2.599440009,596.8608441,-3527,2187,-406,0,410,12262005
1.426126231,438.3569069,-2005,2197,-265,0,270,2.484441926,661.1577457,-4267,5111,-381,0,381,-2.794270095,362.1971124,-2094,1723,-224,0,221,-1.700571657,369.4796391,-2166,1923,-229,0,229,0.732104465,274.6657541,-2090,1764,-153,0,154,-8.975067082,360.1289402,-1684,1888,-227,0,223,5.87021883,475.7720625,-3549,2442,-275,0,292,-1.086831886,364.9871832,-1716,1476,-236,0,242,3.140130998,404.9015865,-2615,2189,-242,0,251,19.89551841,932.6918893,-4591,5319,-547,0,565,32739612
2.50459159,241.5734017,-1115,1148,-157,0,157,5.449709172,831.462292,-6147,7587,-455,0,467,-1.588540191,217.9854084,-1207,1159,-136,0,137,-1.150830819,293.5684567,-1816,1583,-188,0,185,0,0,0,0,0,0,0,-13.32836119,468.8119942,-1812,1564,-329,0,308,-1.957634039,356.3354836,-1481,1601,-232,0,229,-4.111614806,350.3192213,-1293,1202,-238,0,238,-1.833336111,261.3582003,-1542,1778,-161,0,159,0.968100532,500.5407205,-2798,2522,-323,0,321,14965999
2.165797237,221.9659754,-1025,1254,-137,0,140,-0.37337711,425.1860512,-2828,2453,-253,0,252,-2.69898835,194.0855754,-847,1345,-127,0,123,-1.316861386,239.5910053,-1102,1055,-157,0,152,0.308794853,167.9151437,-1693,1166,-98,0,98,-0.836886052,311.5007728,-1840,2025,-204,0,202,-0.843135948,292.5600998,-1533,1576,-185,0,185,-0.175313745,321.8905901,-1457,1542,-214,0,214,-3.36322728,232.9248668,-1574,1340,-146,0,142,8.381443643,523.4454814,-2911,3614,-323,0,326,26469720
0.073815436,261.6937547,-1190,1114,-171,0,170,0,0,0,0,0,0,0,1.998883352,227.921848,-1184,1176,-149,0,152,0.245079249,262.5876842,-1308,1290,-174,0,171,-0.441375977,190.7433449,-1052,1060,-118,0,117,2.205646573,445.9155823,-1715,1700,-302,0,312,-4.784353594,312.5733562,-1103,1036,-224,0,213,-1.730321161,412.6029455,-1618,1439,-284,0,282,1.622906285,325.0867387,-7252,7725,-166,0,168,-3.740470992,562.7436269,-2611,3274,-362,0,361,31072429
5.765187247,385.4338554,-1637,2161,-249,0,255,3.439909335,534.6563805,-5259,3696,-332,0,337,-1.459242346,328.4246261,-1506,1557,-218,0,218,0.561473975,361.8280541,-1638,1370,-243,0,244,1.686838553,238.990394,-1375,1292,-153,0,154,-4.126947884,605.6502436,-1982,2253,-409,0,421,-10.65600573,467.6716161,-2761,1928,-343,0,296,-0.269612173,676.1691472,-2697,2924,-456,0,467,-0.986050232,334.8128265,-1869,1992,-222,0,220,-0.476075399,818.6056062,-4050,3980,-535,0,548,22264866
-2.262362294,365.0081791,-2200,2493,-207,0,206,0.509358177,596.4197908,-10242,9378,-271,0,272,0,0,0,0,0,0,0,-1.013183114,340.4845254,-2860,2068,-211,0,208,-0.063965601,31.41478569,-490,524,0,0,0,3.587240213,539.1908182,-2603,2661,-354,0,369,1.619823003,395.1095526,-2432,2836,-238,0,244,-1.32897785,462.9119471,-2887,2121,-303,0,299,-2.985866902,379.360178,-2122,2435,-231,0,226,1.613539774,743.6587,-4356,5105,-421,0,425,34952168
1.099931668,731.1324305,-2999,3185,-481,0,487,1.596440059,1034.299955,-7089,6362,-661,0,661,0.640172664,757.4763787,-3237,2805,-496,0,509,-6.425959567,730.646932,-3511,3238,-484,0,477,1.489241846,316.2339126,-2278,1700,-199,0,204,-2.171263812,547.8174952,-3171,3262,-353,0,358,-0.185280245,521.7733149,-4509,5356,-312,0,312,0.993283445,608.4968046,-3763,3070,-410,0,408,3.451309145,894.6316546,-3458,3769,-590,0,601,13.84718588,1173.40571,-4919,4576,-763,0,789,9504818
-1.085281912,132.6514658,-627,555,-86,0,86,-0.014233096,392.8582739,-4144,3401,-202,0,204,-1.868752187,126.3105374,-512,528,-84,0,81,-1.107064882,130.7787924,-650,740,-82,0,81,0.161447309,91.36022716,-994,1028,-47,0,47,1.410259829,383.7350755,-2696,2774,-224,0,224,2.86181897,146.0086363,-620,511,-93,0,98,1.008616523,157.0400598,-580,642,-105,0,107,0.177730371,150.6665508,-686,857,-98,0,96,-1.708938184,287.3217013,-1538,1566,-182,0,179,11719563
-1.056799053,334.0366531,-1428,1368,-223,0,224,-1.634106098,1108.805367,-7580,7191,-596,0,594,2.99520008,312.5830093,-1535,1303,-206,0,211,2.279478675,400.161595,-1581,1832,-262,0,265,1.590140164,221.6346541,-1345,1227,-134,0,137,3.613473109,395.7491455,-1548,1694,-247,0,261,-2.138747688,297.6854322,-1146,981,-198,0,191,-3.774720421,487.3856404,-1930,1864,-338,0,332,-4.891201813,405.7886463,-1553,1621,-279,0,267,-5.659539008,613.9512137,-3195,4109,-396,0,392,11629084
