sensor_0_mean,sensor_0_std,sensor_0_min,sensor_0_max,sensor_0_q25,sensor_0_q50,sensor_0_q75,sensor_1_mean,sensor_1_std,sensor_1_min,sensor_1_max,sensor_1_q25,sensor_1_q50,sensor_1_q75,sensor_2_mean,sensor_2_std,sensor_2_min,sensor_2_max,sensor_2_q25,sensor_2_q50,sensor_2_q75,sensor_3_mean,sensor_3_std,sensor_3_min,sensor_3_max,sensor_3_q25,sensor_3_q50,sensor_3_q75,sensor_4_mean,sensor_4_std,sensor_4_min,sensor_4_max,sensor_4_q25,sensor_4_q50,sensor_4_q75,sensor_5_mean,sensor_5_std,sensor_5_min,sensor_5_max,sensor_5_q25,sensor_5_q50,sensor_5_q75,sensor_6_mean,sensor_6_std,sensor_6_min,sensor_6_max,sensor_6_q25,sensor_6_q50,sensor_6_q75,sensor_7_mean,sensor_7_std,sensor_7_min,sensor_7_max,sensor_7_q25,sensor_7_q50,sensor_7_q75,sensor_8_mean,sensor_8_std,sensor_8_min,sensor_8_max,sensor_8_q25,sensor_8_q50,sensor_8_q75,sensor_9_mean,sensor_9_std,sensor_9_min,sensor_9_max,sensor_9_q25,sensor_9_q50,sensor_9_q75,label
-2.79180347,186.2713747,-1177,866,-125,0,120,0.180296995,418.7382803,-4351,4283,-161,0,161,-0.487625206,181.2229773,-827,854,-120,0,119,-1.633322778,257.9303939,-1186,1579,-174,0,169,0.21442976,103.3942807,-1098,820,-60,0,60,-2.525641239,340.0796919,-2905,2890,-211,0,208,3.509241513,269.6766914,-2133,1794,-170,0,175,-0.793570107,567.2368272,-12292,11167,-266,0,267,1.468375527,268.3824631,-1475,1810,-167,0,171,0.977817036,344.7080033,-1446,1644,-222,0,221,7769815
-1.018083032,718.053038,-12620,14707,-408,0,410,-3.344794253,840.7542111,-10400,8351,-436,0,426,-6.546424226,730.7025552,-2963,3224,-490,0,474,-2.853152447,597.3777544,-2582,2471,-402,0,399,1.072682122,159.08764,-1464,1951,-91,0,92,12.16828053,1975.666435,-8651,8232,-1366,0,1373,3.865485575,884.8756819,-3308,4388,-596,0,598,5.047032549,1196.445188,-5491,4445,-796,0,825,2.596690055,467.9461432,-2387,2367,-308,0,315,-1.487258546,816.0456705,-3796,3765,-529,0,527,37574532
-0.251129148,341.8258361,-3516,2960,-165,0,165,-0.077465376,566.2419297,-7445,7228,-218,0,218,0.0,0.0,0,0,0,0,0,0.38062699,270.926071,-2498,2512,-139,0,140,0.51899135,165.2209689,-1440,1652,-85,0,87,-11.18858019,682.4288301,-2623,2942,-475,0,457,1.820769654,372.9679104,-2865,3121,-197,0,194,-1.348660856,375.0802251,-3333,2902,-247,0,247,0.981233646,291.0914391,-2267,1939,-161,0,160,-5.059115681,655.2039843,-5112,4760,-327,0,343,33526051
0.444042599,277.8569405,-1486,1635,-175,0,173,-0.547240879,985.4000557,-12701,13585,-501,0,503,3.078198697,270.3925654,-1717,1574,-154,0,158,0.909251512,333.0765246,-2136,2047,-207,0,208,0.0,0.0,0,0,0,0,0,4.288395193,521.049251,-2335,1754,-335,0,351,-6.962450626,364.2391292,-1707,1754,-239,0,221,-1.313411443,348.6799193,-1629,1289,-229,0,225,-0.941484309,336.1311067,-1979,1771,-202,0,204,1.044032599,548.6557341,-3280,3091,-330,0,328,15443477
4.171813803,444.8154079,-3422,3085,-252,0,256,0.0,0.0,0,0,0,0,0,-2.112298128,273.261566,-1186,1320,-180,0,177,1.579357011,322.2528191,-2036,1845,-206,0,207,-1.096698388,187.3880451,-1386,1636,-114,0,112,-9.505708238,639.9157814,-2266,2291,-436,0,420,-4.441625973,331.6904454,-1223,1168,-227,0,221,-1.786103565,461.518308,-4319,5439,-312,0,312,-2.722137964,306.7282196,-2443,2119,-190,0,189,2.643205947,586.7455277,-2988,3088,-375,0,377,33926568
5.249112515,314.2948595,-1405,1391,-198,0,213,-2.266462226,332.6696592,-4673,3151,-177,0,173,0.963083949,249.1329941,-1050,1144,-163,0,168,-0.530674489,251.9273702,-1275,1379,-168,0,165,-1.086948551,151.1744344,-1424,1459,-88,0,88,7.008633189,464.8408611,-1491,1684,-326,0,356,4.167130548,363.8276254,-2759,2045,-232,0,230,11.07738204,526.4858167,-1537,1733,-360,0,367,-1.926834553,224.0447072,-1079,1268,-142,0,140,-4.996850052,578.8949475,-2784,4361,-358,0,359,38417772
-10.37124381,627.8915312,-2288,2202,-443,0,420,4.537741038,1008.327398,-10504,9449,-559,0,567,8.414759754,535.8707539,-1968,1883,-361,0,377,3.439492675,722.4331195,-2903,2965,-487,0,496,-0.921917968,189.2662914,-1312,1195,-120,0,117,23.15428076,1754.751349,-6472,6360,-1170,0,1209,10.24307928,1077.019902,-3756,3415,-715,0,738,13.59567341,1453.054836,-5666,5330,-1023,0,1025,-0.750604157,498.317199,-2423,2228,-330,0,328,-12.53445776,1019.529851,-3897,3631,-699,0,677,30130984
1.292961784,293.7189796,-2650,1659,-170,0,173,5.408026533,1081.717176,-12335,11505,-549,0,560,1.193996767,283.1188185,-2018,1763,-158,0,161,-2.240345994,348.2908608,-2448,1950,-206,0,200,0.0,0.0,0,0,0,0,0,1.325094582,465.1739716,-1556,1650,-315,0,319,-1.269895502,394.4601778,-2209,1989,-246,0,246,7.558357361,380.2248493,-1476,1644,-253,0,267,0.809969834,352.0310142,-2925,2559,-200,0,203,0.958867352,587.2763178,-4243,4674,-351,0,353,14893845
8.995700072,590.6935515,-2190,2589,-386,0,399,5.00738321,1862.676533,-12347,12636,-1173,0,1203,-1.063248946,571.5978204,-2710,2547,-375,0,374,2.818136364,744.4419025,-3337,3331,-491,0,494,0.0,0.0,0,0,0,0,0,-0.551924135,713.0131533,-5283,5244,-546,0,542,3.130314495,562.1366724,-2564,2617,-352,0,357,-4.176597057,511.0803216,-3216,3519,-338,0,327,-6.966983884,679.8001197,-3208,3037,-454,0,444,0.697105048,1135.00712,-4317,4036,-747,0,758,30597955
3.9719838,546.5105378,-2394,2351,-345,0,357,6.268445526,1845.386101,-9602,11326,-1162,0,1176,-2.123397943,480.9297336,-1901,1715,-324,0,319,-1.157080715,659.0787581,-2988,2780,-444,0,437,-3.557474042,381.664441,-1871,2021,-249,0,240,-0.467658872,662.5884836,-2116,2222,-494,0,486,-6.193130114,531.9000651,-2276,2818,-347,0,349,-4.724587924,393.4858139,-1522,1422,-271,0,258,-11.74792087,628.0633113,-2582,2948,-417,0,401,0.082098632,1097.581213,-4388,4309,-735,0,730,3279380
